Title,X_tweet,Type,Image,Status,created_time
Stablecoins - October 2025 Research Report Design,"Deal flow chat - a user interface where buyers and sellers can not only negotiate deals, but also make new offers, request hard vouches, etc

#uxdesign #uxdesign #uiux ",Tweet,Teroxx 4.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/Hs4DoAxVKIpW-dC_pavrrw/fP5N22aUqfOyJtGhADCBFAYTN5Eo9X0qEGzsbfjGBNEKT1Vvs7dpRJh0KEFSopMaFwlYUFlYpkIIGuy3Fr0edD92287kGMqEyqpK3U7XrkW3nio2i-yuXq2JFNhyvXQ9BHvmsbkCMcIQqNyZu82PJuoHsCbGaoIbJpqK2YcElvk/x7GWGIlhzNZKpIb08AbeYLoqRqz-fPgtaCe31ntvGRU),Published,1/12/2025 9:54am
Financial Report Template Design,"An example of design layout for Regional Market Insights and Global Market Outlook reports.

For this template I use fresh visual approach for fund updates and investor letters - minimal, structured, and data-focused.

#ReportDesign #VisualDesign #FintechDesign #DataVisualization #FinancialReport #CryptoReport #Infographics",Tweet,image.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/Hp_jEjJ_SORc5FUg4cVn5w/JWuEw2z9cfMxwWOHS-mPtv7-rd6v1mjf2DxDiyOA2YdMRkmJ2-Qw3cCpSy_GHxsm5kWH2ChDDrcRFwlZR0IRHP3rbD4-npIU4lutO9PBOZfwZAbSuFM7IUPCqSbi8vl36WwsPKGxdO9cnlTZE42Ang/vTbBE0QR-IhBw6MjX6OEu6WBSH_KBJACJCYfeHKwLhc),Published,1/12/2025 9:59am
Stablecoins - October 2025 Research Report Design,"Refining two layout options for the stats screen of a mobile budgeting app where users track income, expenses, and spending patterns.

🔹 Version 1 – Time-First Flow
Select period: Daily / Weekly / Monthly
Choose: Income or Expenses
View data on area chart
See category breakdown below (e.g., Groceries, Insurance)

🔹 Version 2 – Type-First Flow
Choose: Income or Expenses
See a bar chart with time period selector
View top transactions list
Filter by category

I’m leaning toward Version 2 - starting with what you want to see (income vs. expenses) feels more intuitive than starting with time.

But I’d love your take: which flow feels more natural to you? Does chart type (area vs. bar) influence your preference?

UI/UX design for an OTC & P2P trading platform enabling secure digital asset exchanges. 


#uxdesign #uxdesign #uiux #mobiledesign",Tweet,Teroxx 3.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/xuH2XW-kEUhwx6J-xdWCsA/JIpvHMdaA0_iMpNykzP6tNAZdE-We1xgZMw-sHCr3XX4KfeElb8tNWDun-YXvkW5-ANg6dLnhvdgqgKb00njAW9IbkJAp4td4q9BDZcWbrYnK8a31rD-KJ7i5RAstKkoHEHub44BsttW2elUJfxj4sh_LeRFvH3VK-ypg4vkHWI/5LEHqxRch5_LIPuW4xNUzSQc-tiry7dE0Dt7iRiVjxE),Published,1/12/2025 10:03am
Financial Report Design: Tokenization Outlook 2025,"Working on visual consistency for a multi-page research report: unifying spacing, alignment, and chart styling.

A layout concept inspired by institutional investment reports, blending formal structure with bold data visuals.

#ReportDesign #VisualDesign #FintechDesign #DataVisualization #FinancialReport #CryptoReport #Infographics",Tweet,image.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/Vw0u7rPlVwVs-xx-yTzqmg/e8RmFMW30tYc5AnlwyRdRTjiHIyaLmuslhkMWG72LBvNiJHfOYqvArqsM7sFAxQsgf8emL5ESJ0GgOeLyzJsNpaf6YxKsUn2efwR5nk-DUfol7MC0jB9umZwF_JpenteYIWWLGdd3Awh4N_ME6DWxQ/4OQ6XZH0Zb7h1ufCRFLV4I6yhSlcvfwWA8VpnAG_B_8),Published,1/12/2025 10:07am
NFT & Metaverse - Industry Review 2025 Report Design,,Linkedin,Aurora 1.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/tMo5WCmgR_42BJzjYylW_w/sYSmGle1UmL936kshJiFL1hQQPLEQW14Rh_6JbdQi6xiKxKNmzeh1eDzgTNJnWGQBa5YBlx3zQegokKA5RhWZ39Gc820UxIvslhMNpyGkYzMEa1SbRoDBfJx2NI4ff8hcbprIkx3x3HHD7j0Dpoq76HQNNl9Ku239N70S76obm0/NVpoD3A7gVqQ1sRcQBR7yV6LBScTcZqRq3YnmlKGm10),Published,4/12/2025 5:51pm
HeyBank - Online Banking Dashboard Design,"Here’s a look at a Tennis Live Score mobile app UI I designed a while ago, featuring a clean and modern Light UI.

First screen: A calendar view showcasing upcoming and past tournaments, along with recent results for quick browsing.

Second screen: A detailed match summary, highlighting key statistics, making it easy to track player performance at a glance.

Designed with a focus on clarity, usability, and smooth navigation to keep fans updated on every match.",Tweet,HeyBank Dashboard.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/nqH30teu_OW9EF5hV2vFDw/M-ulhGxxuZkrUlqlcx8h2gAfgy0A4MamO8NVebo5dTgQ_Ea7a0QDcaFt1qXMrI_iVmPVGDL3kEKlNhk7sOBeyvJmgJGHO9nhASXNo64FmCVECxffgt99OTttgqaNvDMuytjBECYTt1rBDE6ROBsqmV_8x5JGuOUDXbo0I0LZjZE/RQnmpek2DNKOXABNEV6khrC2T8p9chg_8bG8NRr7VEc),Published,6/12/2025 5:58pm
Nexa CRM Dashboard Design,"Sharing one of recent examples of my UX/UI design work: a user interface for an over-the-counter trading platform - a “white-label” solution for exchanges and trading desks. The platform brings together buyers and sellers who want to securely transact over-the-counter.

#uxui #uxdesign #trading #fintech",Tweet,Nexa CRM - Overview.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/LWLQmyTYu3V-dxamufUNGQ/14BNpkWv1Xv27xabygsEbnQ5gNk-aaoywoTvzyTD1fs9SCkknZl68qJuNZGvMGc1tSihU_R55Om5BodyjLYE_uIBWLoC6IAd8zZAiMO7uHQI1XkfIDUXuJq9qsPywez--ICY0Lwkz1vFsIMfYkN8JLAa4JmO4yk94AzloPq5S0U/En-le-0los6IouoGH4BCIIUiaCew3BDA8tt3Y8F8ytU),Published,6/12/2025 6:01pm
Trader's Portfolio Dashboard Design,,Linkedin,emdx wallets.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/vF2G3M3miyfWD95FJrByPQ/k_IlZPpFmePoh8fu6AtyrWaVVEGI-5nPVNJu2XS7smj70hhV4hUuUD7gdI4qG-tt0rEGGmNTxOqhahO1LRZFvEesNPUFfRJtRM_zEQcw-32Yxq_8E52NLvIEiYDDBdqiMsJii7MPr9emkG5RcfsiytArfieozaXm3dEvTlJL8NA/B3tzV6va299kyijBPx_KOW3mq7LCR1hlFnhW8VjBXqo),Published,6/12/2025 6:04pm
Financial Report Design: Digital Assets Investment Landscape 2025,"Sharing a clean, modular annual report template concept made in Figma - adaptable for both PDFs and web-based reports.
Focused on legibility and design consistency across multiple report cycles.

#ReportDesign #VisualDesign #FintechDesign #DataVisualization",Tweet,image.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/e9Ex90G3aIvyafsnITmFsA/R7eupzN9X3HY9eB69qxhEjdeOpF6vSJjDjHMWWC39AQZEMG_KUBINM5N4Eb5Ul0zOiCmyEcYhxT3BHr9rD2Z2WJrjkCsYQCU1ILxlsiVdJgb-D1liSFu4vCxRN9wGgldgrKB4Lce6x4aS_6DALMm7A/l8K0S9nVenE7FLEQd5KbnSwGUbh9MQLCupXxamNperU),Published,6/12/2025 6:29pm
Property Management Dashboard Design,"Designed for EMDX.io, a decentralized crypto exchange, this set of social media badges enables users to showcase their trading results effortlessly.

The badges are visually engaging, offering a sleek, modern aesthetic while incorporating the EMDX brand identity. Users can share their performance with ease, enhancing social visibility and promoting the platform’s vibrant crypto community.

Created to drive engagement and trust among users, these badges offer an innovative way to share trading milestones across social networks.",Tweet,Property Management Dashboard.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/EE6rJrRJizZtukdm8z5R9A/P-P7A28zwWcKwBrci4zsQCPXWXIMF0OM1L-NKiCr_IwLurnEC66oE54HYHJp1iEQ8QjsccsSFO24VyTO7EaQUWXLuw7SsMquhPM88YA1_JivVSxJXXQHDz5p5T5oYoDVcps4dt6-y_KG3apx5pFZqYggKUjaX-p6al_UOz7CwqE3n4pTwd7ZVkMSxakJ85k2/5WCepm8AkUTXmcry76e-VkAWG7Xgeax2gb61XNlIrjY),Published,6/12/2025 6:33pm
Bankify - Digital Banking Dashboard Design,,Linkedin,Bankify - Digital Banking Dashboard.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/zCcH7---4fNt6PJ0aloM7g/kYRAD2uknAIjVdy8r86DBgsppkHDtfqcbYJ4mATw_-kTE6CbLBhKBhGpUTJ4e1rImttrVT669j7LAoLyNW2rwDOfB6YFAS4LqtjZAHYGW7MhkVg6nXhEyMA_Jw_zWx4hUnKVH18DUk4IU1kznhNBSHExUOQ2_lAj_2yTB1d4zd697fkadUE47pD4P_S8vHPy/gJgqzFs7Tjk7ChNM903QQ89XvVDppj9n5j2PTEaOJ7w),Published,6/12/2025 6:35pm
Social Profile Overview Dashboard,"UI/UX design example of the user interface of the regulated cryptocurrency investment platform for one of the local markets in Asia.

#ux #ui #uxdesign #fintech #figma",Tweet,Social Profile Overview Dashboard.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/O5lM7PZiLcrtxCsGAWelNw/0ZctCzFifwZAmehgbHldUa9SoKcCPosw5f0oiwNHgb2ViwarIJaxz-HWBGPh1-nTxoHvXSMm2q1UulzUFIecDiz9nCpShq-5N6lzJDbz1MeH4g3O-1CiMs9qnxTBIL_SyatUDAs4dXgFJYgy703o7oa64sFjvcvZuJRlapjxeYrMvMA_oPKnWSPYNLqbFKQm/1LFoofI0ec67HjC5uoYs8iFNZh1mEOllB88DvgGg4rA),Published,6/12/2025 6:37pm
CoinStage Pro - User Management Dashboard Design,"Sharing an example of self-custody crypto wallet mobile design, focusing on security, usability, and a seamless experience for managing digital assets.

#mobiledesign #cryptowallet #uxdesign #uiux",Tweet,Coin Stage Pro - Admin - Users.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/xOIzrJ-fW6zrK3ikBnZ7-A/w_sdBT1QfAQY9W9ueEXwu1ttvpZ2joI8coL4__SmhESevvDDJC7buxnfyM3uIruYv2SanZdNZBBXSk2RqJMCwg8ktte5CCOqn7VORW48Fgp5WWsjf420LBFD4mZxd5GMqPKR9drSxp55OJg3wPh8jiwNtLp7O8cT60CJnN9LVGfGBZIMByEKtzsUnLMr7AEC/VtBNnbiLBPUN2rMq7Tfyu7eBQd0NViWPJsxvbsWA_Po),Published,6/12/2025 6:39pm
User Management Dashboard Design: Admin Settings,,Linkedin,image.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/dhthX7THbk-RcrcoqZt1vw/HJ3g0LSrS49CtduGOvvT1buoEbbAM5VaMBwWvdENw8-N-WvqS2ij-A4ag6BBZjzR-vAtMyeZ7wEAAcPaTlFhjlyj2r3opVovhtUQyBE7DZ0ho8172XIdV1O5GVyzmAF1hCzq0b6ZMBLKNqr5vINK5Q/nHbESWlcQlGa0Sdf_16wkWuLeLdyY8IsYTRITp2wN7c),Published,6/12/2025 6:41pm
Investor Portfolio Dashboard Design for Blackmoon Crypto,,Linkedin,image.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/MGy7Qy8sEhW5QwSOOWEKsg/6mzGG3SjoGa2kVKE1dTxzYDPw7WLuBsXnoZ0QXhN9iHibsqBqUoTa-gpusC6LdC3vzd8xV3BnCJIZdAP9qOjZ-7srwMk2K8ZQOcebTY9hfM7yp5oeBB7J_Bj_aP3c9owcMQonQqjGX5DuQ5funvPww/6qH4QH1u8fdCMzM9OiU-o2GCVsKugBfZGL2JW_HAdpQ),Published,14/12/2025 4:12pm
Crypto Investment Platform | Token Overview Dashboard,"Project: Cryptocurrency investment platform for one of the local markets in Asia.
Screen: Pie chart visualisation of the token distribution, that shows investors how the team plans to carry out different activities related to the project.",Tweet,image.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/_xBvOU0SWwVFuLYnzIha5w/d9SxqWYTqfkyphBjG2Pi1cJSlU4WH6v6rdn8pjRMVupT_V_lpQkNBxi53QojrsRYN5KxEhsX0B6m9csKM5bleKhSxsnoSKWLOP5EqWJhQoQFl7QUTC6jeqKPj7iQBegjSzF-TGGJh6ognYz6_BfMew/8EbtBBD1AfPf0U-VfI1JBDaO8ICklyZFOR4Y4GjCVo4),New,14/12/2025 4:13pm
Digital Assets Volatility Index Q4 2025 - Financial Report Design Template,,Linkedin,Layer 2.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/uxQk84a2OaTRrNulAWf97g/6H1tKCGqWOkf41hRK21RsIZRWBROTeEuZIJXUI0CkKAk6mLquRECr1Eh5vv7U09IseYmXFlRVGBTdiaJ6hN3rSGXD2WmIUdHJvWpbmrzagMB3ZyEdHAyMZK38Wb4tdc3koAIIkLU5wMOGRxembJ3PXNKPEmpIY_gI4eyfg0T7kA/U3po8LMtwrqvsOumOawzuSSf2CcpVdAori4cjyn-DQo),Published,14/12/2025 4:19pm
Copy Trading Dashboard Design,"Copy Trading Dashboard UI/UX design for Coin Stage Pro crypto SaaS Platform, featuring Total Trader Stats, Long/Short Positions, Open/Closed Trades, Balance Allocation and PnL Chart.",Tweet,image.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/wU0zT_W_eJIUefR9UE_cDw/33Mkc4InnqvoWQQK5qhr_7-vFN_uwpTPVTZ-teo2WvHkcJ53sJ6d0-M3dFZNQiK__7wlAyFbX0EYGxnrJhW3qb-5plD2fIWqLMGIj1wwxB0B5-d1eMDqSgJlJ68AK5PYFgqmBID1-px91cV1gDYPlQ/JaTJC7C_iqbACtBJxdi00Ly2UCNThkrqzeGU9IKVEu4),Published,14/12/2025 4:25pm
"""The State of Crypto"" - Digital Assets Market Report Design","This report design template was built in Figma with clean layouts, data-driven storytelling, and consistent design language - focused on clarity, hierarchy, and data presentation.",Tweet,Apex 2.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/uXbskJzvgcnltm9_1TPoVg/45NnoPzvZdKC-h2KK8wNpr7118JN4NYXxk7SH0EYrZYgMvToyP3kJOcmxISd18SLJLXtsd4QGi9CACd6NY-DwJL2avz-7kO2NABZ6nkIWnWx8AIhmS0HqIgWx7AJKaSCqgQOeXO6Vnjy-kLQ-x8Tdg/dq9gY1unFXhAMUSh8pTDz1zJHeCCfxdv_0Ste0E3nMA),Published,14/12/2025 4:29pm
"""Global Web3 & DeFi"" Research Report Design",,Linkedin,DeFiScope 1.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/emi89yOVMo0oryZ_-TKclw/2h06v6m-2tPftOhoLHaVVHw-ZOcJkGWWynhXPll83-BIcq-jLYY1gPYk0oW08CFDLegckIzbh_wh3B28wFg3NiCROYKPLt29YyDiJodsy8WMk0EReIuw94-HxGbqpuKEc8_zv2VoT3voJtSKRqmv3DZKywbibyVBcAHHevhjACw/lAYJ_jtirhbSPwW1Wg-oCBYz07U1_g02Vxt8HglXlfM),Published,14/12/2025 4:35pm
Token Sales Launchpad - Token Metrics Dashboard Design,"This ""Token Metrics"" screen was designed in Figma for the evoBit platform, a cutting-edge tool designed to empower investors in the early stages of token sales.

This interface provides a seamless experience to track and purchase token allocations during the launch phase",Linkedin,image.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/FSPcYBeJVrUKEeWVuO31gw/JAukgqpC-zdzvdoYr3fH200VxUdhp9midW_mCAKRf25AuabX6_oThXHsmvEZ9g9pm2xuYyiIKSvogMqK5H2b0Y2BduKFnMfIXbTTKt0_FFNbt1Xfec2ho0uEAADNnMbFCyI2fVj71OYnZGOBYlP0dw/iYO5T7bcfP7Mrmm99RYrHpthqjJm7GPr6vZ3orucTLA),Published,14/12/2025 4:39pm
Digital Assets Volatility Index: Financial Research Report Design,,Linkedin,Layer 1.png (https://v5.airtableusercontent.com/v3/u/51/51/1775289600000/OGnWvVYUzNCo0K-wj4S_gQ/CRQHKGNv4VNGwseq4xwU-Q74Ga0xLoaezPJizN6tAYdp-YyaBY4tF6YUE-dPwPam0qz5m1hXyBL9l3bnkEjpj6ND-ON1Txq-PZiiNfALqpTH28IJAcZPVDwQ2szCqHtcPVKy6IQKYwNRuHWcYDmFfYdNYlXVK5Td2GKcNDOoKvw/VdppnH-LFGxZlUGPhQxJ_2Cs_o6i-56QCi2-pIlip5k),Published,14/12/2025 4:46pm
